ss	seed	unique	Min Helix	Generation
...(((((.((((.((((.....(((...((.((.(((((...(.(((((....))))).)....(((........)))(((((.((.((((.(((....))).))))))))))).)))))))))..)))...)))))))))))).)...	linearbp	0	1	MFE
..............(((((..((((((((((((((((......)).)))))))...)))))))..))))).......(((((((((((..((((((((.(.................).))))))))....))))))......)))))..	linearbp	0	1	MFE
......(((.((((((((..((((((((...............)))))))).........((.(((((((.....)))))).).))((((..(((((...)))))))))...............)))))))).)))..............	linearbp	1648	1	MFE
....(.((((...(((..((((.((((((....)))...))))))).((((......))))(((((.(((..((...........))...))).)))))..((((.((....)).))))...((((.......)))).)))...)))).)	linearbp	0	1	MFE
.(((((((((...(((((.....)))))....))).)))))).((((.....))))....(((...........)))(((((((...((((((....((.(......).))....))))))....)))))))..................	linearbp	1229	1	MFE
((.(((((.(((((.........((((.(((((..((..(((.(..(((........)))..).)))..))..))))).)))).(((......)))....))))).))))).)).(((((((.....(((((.....))))).)))))))	linearbp	1114	1	MFE
...............(((((((.(..(((..((((((.((((((.(...((..(((.....))).))...).)))))).)).))))((((((........))))))...)))..).))).((((((.....))))))....)))).....	linearbp	0	1	MFE
.(.((((((((((((.((.......)).)).((((...((((.(((((((((((.((............)).))))))....))))).))))...))))...))))))..)))).)...((((..(((.(((...))).)))..))))..	linearbp	0	1	MFE
..((((.(((((((((((.(((..(((.(((((...(((((((((((.(((((.......)))))..)))))))......))))...)))))......)))..))).))))......).))))))....)))).(((((...)))))...	linearbp	1985	1	MFE
((.....((((.(((.(.(((((..((...((.((((.((.....((((((...)))))))).)))).))....))....))))).)))))))).......)).(((.......((.(((((((......))))))).))......))).	linearbp	0	1	MFE
...((((.(((....)))..))))............((((((....(..((((....((((((((((((.......(((.(((((((.(((......))).)).))))).))).)))))..)))))))......))))..)))))))...	linearbp	0	1	MFE
(((((.........(((((....((.((.......)).)).............(.((((((((......)))))))).)......((((.....))))....((((((((.....))))))))......)))))........)))))...	linearbp	0	1	MFE
..(((.....(((((((.(((...(((...................)))))))))))))....))).......(((((.(((..(((((((.((((((......).).))))))))))).......((((((....))))))))))))))	linearbp	0	1	MFE
....((((.((...(((((..(((((.((.(((((.((((.(((((...))))).)))).(.((((...)))).)..))))).)).)).)))((((((((.......))...)))).))((......)).....))))))).))))....	linearbp	0	1	MFE
...((((...(((.....)))((((((.(((...(((((......)))))....))).)))))).(((((.....))))).(((((((.(.(((.(((((((.((((((......))))).).))))))))))).))))))).))))...	linearbp	1249	1	MFE
.......(((((...(((.(((....((((((.(((((((.....(((((..((....(((........))).....))...)))))....))))..))).)...)))))(((..((....))..)))..))).))).))))).......	linearbp	0	1	MFE
..(.(((.(((..(((..(((..(((((((......).))))))...)))...........(((((((((((((....(((((((......)))))))...)))..((......))...........)))))))))))))..))))))).	linearbp	0	1	MFE
....(((.(((......))).)))((((...)))).........(((.........)))....((((............)))).((((..((((((.(((((((((((((....)))))))........)).)))).).)))))..))))	linearbp	618	1	MFE
....((((((((.....(..((((((.((((((((((..((.....((((..(((......)))..)))).))...))))).))))).))))))..)..))))))))((((.((((....((((....))))......))))))))....	linearbp	0	1	MFE
(((((.((.(((((((((((..(((...........)))..)).)))))))))))...))))).....((((.(((((((....))).......(..(((((((.....((((((....))))))...)))))))..)...)))).))))	linearbp	0	1	MFE
...((((..(........)..)))).........(((((((......(((((......)))))........((((((((.....(((((((...((((((......))).)))....))))...))).....)))))))).)))))))..	linearbp	1530	1	MFE
...........((((...(((...(((.(.(((.((((...(((((.((((....((((.....))))..((((.(((((.((...)).))))).)))).........)))))))))......)))).)))).)))...)))...)))).	linearbp	1018	1	MFE
......(((((((.........(((...(((((.((((((.(((((...(((((............(((.(......).)))....((((.(((......))).))))..)))))))))).)))))).))...)))...)))))))))).	linearbp	1097	1	MFE
.((((((........(((.((((..((((.(((((((.((((.(((((...(.((.(((...)))...)).)...)))))))))..))))))).))))..)))).))))))))).((.((((((........)).)))).))........	linearbp	0	1	MFE
.(((.((....)))))......(((((.....(((((((((((........))))))...........))))).................((.(((((((((((.(.(((((.......)))))))))).))))))).))))))).....	linearbp	1353	1	MFE
....(.(((((((((((..(((((((...)))))))..))))...((((....((((((((.....))))).)))......))))............))))))).)((((((((.(((((...............)))))))).))))).	linearbp	0	1	MFE
(((((((........((((((((((........)))).......)))))))))))))...(((((.(.((((.(((((.(((............(((((((.....))))))).............)))..))))).))).).).)))))	linearbp	827	1	MFE
((((((((((...(..((((...((((.(((......)))...)))).....))))..)...)))))))((((..(.......)..))))..)))((((.....))))......((((((((....))))))))................	linearbp	0	1	MFE
.....((((((((((.(...............(((((.....(((..(((...((((.((.(((((((.((....))...))))).)).))))))...)))..))).....)))))).))))).))))).....................	linearbp	0	1	MFE
..(((((((...((((.((((((......)))).)).))))...(.(((((...))))).)(((((((((((....((..((((....((((....))))...))))..))...))))..)))))))..)))))))..............	linearbp	0	1	MFE
....(((((((((.....)))))...............((((((((((((((.((((((((((.((.....)).))))....))))))..).))))............)))).)))))..........(((.....)))......)))).	linearbp	710	1	MFE
.........(((((.(((((..((((.(((((.(((((.((......))..))))).)))))))))...((((.......))))))))).......(((...))).(((((((..((..(........)..))..)))))))..))))).	linearbp	1022	1	MFE
((((((((((((....((((((.((.(((((.....))))))))))))).....))))))))...(((((((...(((((.((......))..))))).............)))))))..)))).((((.(..((....))..).)))).	linearbp	904	1	MFE
....(((.((((..(((..............)))..)))).))).........(.(((((((.....((((((((((((.(((....................))).)))))))....)))))...))))))).)...............	linearbp	0	1	MFE
..((((....(((((.((((......))))......(((((((....))).))))......)))))...))))(((..((((.(.(((.(((.(.(((((((((....)))).)))).).).))).))))))))..)))...........	linearbp	728	1	MFE
...(((....)))(((.((((......)))).))).....(((.(((((((((((((((((.(((((.....)).))).)))))))............((((.(((((...........)))).......).)))))))))))))).)))	linearbp	496	1	MFE
.....((((..((((((((........)))))))).)))).((((((.(((.(.(((((((((((........))).)))))..((.((((......)))).))...))).).))))))))).....((((((.........)))).)).	linearbp	1017	1	MFE
...((((..((((((..((((((((...((......))...)))))...(((((((.(.(((....))).).)))).))).....(.((((((......)))))).)...........))).)))))).....)))).............	linearbp	0	1	MFE
.(((.((..........((((((((............)))))))))).)))((((.((......((((..(((((((((((.((((.(.....))))).))))))..((((.............)))).....))))).)))))).))))	linearbp	0	1	MFE
.(((.((((((((((.....((((...........))))...)).))))..)))).))).....(((((..(((((..(.........(((((((...))))))).........)..)))....))..)))))((((......))))...	linearbp	0	1	MFE
(((((((((.....(((((((((((.......))))))(((((((...))))))).....)))))......))))..)))))(((.(.((((.(((.((....)).))).)))).).)))..(((..........)))............	linearbp	1458	1	MFE
(((((((((((........(((((....((((..((..(((((((((.........))))).))))...))..))).)...))))))))))(((.((((((((..((.........))....)))))))).))).......))))))...	linearbp	0	1	MFE
((.((.(((((.((.((((.....)))).))..))))).)).)).....(.(((.(((((((((.((.....)).))))))..))).))))(((((((.((...(((.....))).)))))).)))..(((((((((....)))))))))	linearbp	0	1	MFE
.........((((((((((....((((((.(....(((((...)))))..).))))))....)))......((((........)))).....(((((((((...)))))))))..........))))))).....(((((....))))).	linearbp	0	1	MFE
